drug_name	adverse_event	log_ratio	ror_female	ror_male	n_female	n_male	total_reports
OXYCODONE	Infusion related reaction	5.49607360941596	11.609736242899936	0.04763299755065621	2523	10	2533
OXYCODONE	Pericarditis	5.396185812256093	51.534832042590615	0.23365073061746147	2508	11	2519
DUTASTERIDE	Product prescribing issue	5.088759044734165	566.6346585722184	3.4936803082535772	120	12	132
OXYCODONE	Blister	5.055572366021432	14.535847531612431	0.09264738751517432	2917	19	2936
PREDNISONE	Duodenal ulcer perforation	4.827950638154627	283.75534336742595	2.2708671471864594	3339	10	3349
GOLIMUMAB	Pericarditis	4.810226860461381	177.3290446920552	1.4445244338204362	4061	11	4072
OXYCODONE	Impaired healing	4.808073222879093	27.424086962722992	0.22387856169532358	2933	22	2955
HYDROXYCHLOROQUINE	Pericarditis	4.769659061626444	215.8158028478241	1.830824144486692	4069	10	4079
METHOTREXATE	Glossodynia	4.744840614648506	60.67151337397821	0.5276266600313795	6104	14	6118
ADALIMUMAB	Pemphigus	4.742840780858185	87.41229443242847	0.761698219206178	6766	16	6782
PREDNISONE	Helicobacter infection	4.707873447732176	132.405447563103	1.1948197529564195	3295	12	3307
RITUXIMAB	Prescribed overdose	4.559055650143672	19.12117092984841	0.200235820747249	1278	12	1290
SIROLIMUS	Transplant dysfunction	4.504688383143007	2536.5928734259314	28.047196711424036	452	17	469
XANTOFYL	Drug ineffective	4.489151578939397	353.25774611888596	3.96714372305574	362	33	395
VITAMIN B9	Pericarditis	4.4874408170897215	756.3131097375035	8.508065871982252	3491	12	3503
OXYCODONE	Wheezing	4.462003340046337	6.829759446587097	0.07881011816888055	1532	18	1550
MINOXIDIL	Wrong patient received medication	4.460326087507845	795.4500988428833	9.194284389709777	1460	21	1481
SULFASALAZINE	Pericarditis	4.448979090470586	317.73482150594594	3.7144776023046018	4104	12	4116
CETIRIZINE	Hepatic enzyme increased	4.432569067188	57.58370819238666	0.6843201718514779	3847	14	3861
SECUKINUMAB	Infusion related reaction	4.432323886314812	7.367849636796762	0.08758040483405281	1982	11	1993
CETIRIZINE	Arthropathy	4.410212081234197	61.03861618084325	0.7417779308271217	4077	11	4088
VITAMIN B9	Wound	4.402479899195807	350.2743675657925	4.289786031220177	3728	12	3740
SULFAMETHOXAZOLE;TRIMETHOPRIM	Wound	4.397371964752235	49.15243818312817	0.6050491936684781	1499	10	1509
PREDNISONE	Glossodynia	4.383854726486452	105.07029953122964	1.310979960477835	6082	34	6116
METHOTREXATE	Pemphigus	4.370921860017574	258.3361872315266	3.265261749954674	6680	22	6702
INFLIXIMAB	Glossodynia	4.365145692995518	91.32761863146877	1.1610300126125446	5962	25	5987
OXYCODONE	Wound	4.358493627600622	22.663691144235106	0.2900420133836332	2434	27	2461
ETANERCEPT	Glossodynia	4.349408496657637	24.231984095168894	0.31294272910493304	6286	15	6301
OXYCODONE;PARACETAMOL	Hepatic enzyme increased	4.345509184155896	13.59553593593179	0.17626483241201982	1441	16	1457
RITUXIMAB	Obesity	4.334857675477055	27.35867718598779	0.3585009631422221	1172	20	1192
OXYCODONE	Synovitis	4.315676223529395	31.816069145418783	0.4249835815990399	2510	13	2523
GOLIMUMAB	Confusional state	4.302615856099923	8.878325332892011	0.12015137107316946	2867	14	2881
CETIRIZINE	General physical health deterioration	4.242432529375961	25.026016284010222	0.35968860993127155	2667	17	2684
SULFAMETHOXAZOLE;TRIMETHOPRIM	Discomfort	4.240945359071558	19.128581852731827	0.27533638504902674	1299	10	1309
HYDROCORTISONE	Arthropathy	4.240760691871515	51.63230190129952	0.7433314703872032	2102	10	2112
PREDNISONE	Irritable bowel syndrome	4.23511061804969	31.009348517852544	0.4489598150886344	2539	13	2552
DICLOFENAC	Injury	4.234388647238324	20.82709507886813	0.3017568071904906	2243	14	2257
LEFLUNOMIDE	Wound	4.2264286341653765	107.0774947312372	1.5638084934439656	4919	13	4932
OXYCODONE;PARACETAMOL	Wound	4.222798528156514	22.341850987744284	0.32747718756191146	1150	12	1162
CETIRIZINE	Joint swelling	4.214645385851089	24.54980692842635	0.3627862736045319	3896	12	3908
HYDROXYCHLOROQUINE	Discomfort	4.19084291800522	30.548882858902626	0.46231222674925776	3752	11	3763
HYDROCORTISONE	Joint swelling	4.180675280437425	23.979265670925308	0.36659933634682507	2188	11	2199
OXYCODONE;PARACETAMOL	Joint swelling	4.180333098010459	7.5766698947173285	0.11587313817409851	1795	17	1812
GOLIMUMAB	Ill-defined disorder	4.168439082636502	27.89084521194442	0.4316498394440615	2626	11	2637
OXYCODONE	Sinusitis	4.164298727376041	6.127160800670232	0.09521981202065537	2897	26	2923
LEFLUNOMIDE	Folliculitis	4.160461219053649	313.39567103644606	4.889085628036174	3331	11	3342
DICLOFENAC	Delirium	4.156298257421302	18.09928422447944	0.2835332537428084	829	11	840
CETIRIZINE	Contraindicated product administered	4.147760916702745	113.18872882072368	1.7883540566117304	3885	14	3899
RITUXIMAB	Irritable bowel syndrome	4.142286112765884	31.558646791135946	0.5013561786575748	2781	14	2795
SECUKINUMAB	Delirium	4.141490280730315	6.348186186888387	0.10093069876530694	642	11	653
LEFLUNOMIDE	Pericarditis	4.131070158844316	237.97140980454984	3.8231717560533607	4329	16	4345
OXYCODONE	Hepatic enzyme increased	4.118615026820804	10.921285694512338	0.17765686287165783	2569	41	2610
VITAMIN B9	Contraindicated product administered	4.116622313401446	254.22453845279793	4.143726786012287	3453	11	3464
OXYCODONE	Psoriatic arthropathy	4.100095719889065	9.677369479483511	0.16036455231455665	1623	24	1647
OXYCODONE;PARACETAMOL	Contusion	4.096713043194876	7.901200321973794	0.13137514372588405	1369	16	1385
SULFAMETHOXAZOLE;TRIMETHOPRIM	Joint swelling	4.0948540865301215	16.34159231772046	0.2722211333350666	2283	18	2301
HYDROCORTISONE	Impaired healing	4.093096381622221	75.81627042272424	1.2651826984060426	1571	10	1581
HYDROXYCHLOROQUINE	Blister	4.089273767743755	27.592073390122586	0.46220570767948094	2987	11	2998
USTEKINUMAB	Obesity	4.076941653569541	29.98602601627103	0.5085406224383172	743	15	758
GOLIMUMAB	Wound	4.073743534721619	89.77897722875433	1.5274616518785018	4884	23	4907
GOLIMUMAB	Folliculitis	4.064341178819264	214.4219229485221	3.6825465042061496	3028	15	3043
GLYCERYL TRINITRATE	Orthostatic hypotension	4.057777458796252	324.7551992069859	5.614172512796771	462	13	475
METHOTREXATE	Helicobacter infection	4.050525988249729	90.56710680648641	1.5770643292949222	3538	16	3554
OXYCODONE	Peripheral venous disease	4.027453672187233	62.34412994628463	1.1109503816676252	861	11	872
GOLIMUMAB	Discomfort	4.020247754475494	26.88115700999114	0.48247691870872	3951	16	3967
PSEUDOEPHEDRINE	Pain	4.014515419151405	23.92066918888652	0.4318087425553347	3790	12	3802
RITUXIMAB	Folliculitis	4.011171646043361	102.26543884086159	1.852248170488349	2831	30	2861
RITUXIMAB	Pericarditis	4.003075404820835	111.24265175123124	2.0312237874439787	4362	61	4423
OXYCODONE	Pulmonary fibrosis	3.998032322749193	10.88550910822625	0.19976774592316154	626	17	643
SULFAMETHOXAZOLE;TRIMETHOPRIM	Infusion related reaction	3.9975639797380795	29.35507298262332	0.5389682560208231	1724	20	1744
DICLOFENAC	Wound	3.9874829702913073	92.66496067273002	1.7185955980837186	4390	34	4424
OXYCODONE;PARACETAMOL	Treatment failure	3.9870775122355058	4.367441817478281	0.08103289699680559	608	11	619
BUPRENORPHINE	Epilepsy	3.9855976563579762	11.790446892568836	0.2190822523541108	549	11	560
APREMILAST	Liver injury	3.9708246605864597	12.7253259143873	0.239972610193811	1106	11	1117
RITUXIMAB	Injury	3.9708001655773777	9.757755933300448	0.18401505272045757	2281	26	2307
PREDNISONE	Wound	3.964377899293288	55.057084023288105	1.0449746628380823	4965	65	5030
PREDNISONE	Pericarditis	3.963696089663096	123.9993378996068	2.355092809882467	4370	73	4443
ATOMOXETINE	Obesity	3.9591480045181546	155.1542899945336	2.96024500425805	339	12	351
INFLIXIMAB	Obesity	3.9519096447752555	27.22554698485693	0.5232196695255347	1163	25	1188
OXYCODONE	Blood cholesterol increased	3.9497433083175553	8.596987199161575	0.16557492093725074	1384	22	1406
CETIRIZINE	Therapeutic product effect decreased	3.944607336418567	46.429751850932426	0.8988250406339087	2464	13	2477
DICLOFENAC	Irritable bowel syndrome	3.9423199911142404	67.46448304042414	1.3090233058761964	2731	12	2743
LEVOFLOXACIN	Orthostatic hypotension	3.9354565732386773	43.9234005063068	0.8581216948798527	492	13	505
OXYCODONE;PARACETAMOL	Peripheral swelling	3.9311456763497206	5.278790619827357	0.10357610172031265	1669	27	1696
DICLOFENAC	Type 2 diabetes mellitus	3.930098996399213	44.22258410516452	0.8686079682946086	2593	15	2608
ATOMOXETINE	Epilepsy	3.926387307567846	117.93911624509111	2.3251422494291725	523	16	539
OXYCODONE;PARACETAMOL	Nasopharyngitis	3.924206439795813	4.241105630205514	0.08379495780435267	1508	22	1530
USTEKINUMAB	Liver injury	3.9238312380720535	30.296397067393702	0.598815081053455	1322	19	1341
CETIRIZINE	Gastrointestinal disorder	3.9226976753227927	20.47709452758078	0.4051934166156433	2104	11	2115
CORTISONE	Infusion related reaction	3.918416278449903	214.77322508124436	4.268090023807825	3093	10	3103
PARACETAMOL	Impaired healing	3.914209940750934	23.793809091939867	0.47483660856155024	2582	18	2600
RANITIDINE	Prescribed overdose	3.91153156271083	2.5005797664379386	0.05003617920335274	356	10	366
OXYCODONE	Hypercholesterolaemia	3.903879257469911	29.379534153478254	0.5923954111881395	788	16	804
RITUXIMAB	Peripheral venous disease	3.901955991355516	76.87404987327065	1.5530370102264957	1086	10	1096
OXYCODONE;PARACETAMOL	Rheumatoid arthritis	3.901790592299717	5.678979849628642	0.1147477567059575	1421	10	1431
SULFASALAZINE	Discomfort	3.8969727199901554	45.47739663254761	0.9233404187381992	3849	13	3862
HYDROCORTISONE	Psoriatic arthropathy	3.8817796517246315	56.49798173004737	1.164655417384898	1627	14	1641
METHYLPREDNISOLONE	Psoriatic arthropathy	3.8813489765307256	14.075871493156965	0.2902865075581006	1016	12	1028
RITUXIMAB	Helicobacter infection	3.8688147334934495	135.61105260310939	2.8319800960155144	3487	27	3514
PANTOPRAZOLE	Wound	3.854618499446514	18.49932428792222	0.3918468152429757	1099	10	1109
