drug_name	adverse_event	direction	log_ratio	n_female	n_male	total_reports
PALIVIZUMAB	Cardio-respiratory arrest	female_higher	0.6552349387174563	25	25	50
METAMFETAMINE	Cardio-respiratory arrest	female_higher	0.6547611241519058	94	128	222
DEFEROXAMINE	Death	female_higher	0.6545280569068793	36	27	63
HYDROMORPHONE	Near death experience	male_higher	-0.6534074801899152	23	44	67
TERIPARATIDE	Death	male_higher	-0.6514350984814505	1416	471	1887
VENLAFAXINE HYDROCHLORIDE	Cardio-respiratory arrest	female_higher	0.6513862795694525	76	27	103
LINEZOLID	Death	female_higher	0.6511668643328381	163	199	362
FUROSEMIDE	Cardio-respiratory arrest	female_higher	0.6505950010656899	191	126	317
ISATUXIMAB	Death	female_higher	0.6491064058157836	21	24	45
LOSARTAN POTASSIUM	Completed suicide	male_higher	-0.6489081205309342	13	19	32
PYRAZINAMIDE	Death	female_higher	0.6487978048350782	33	38	71
MICAFUNGIN	Death	female_higher	0.648391176770262	63	96	159
DEXTROMETHORPHAN HYDROBROMIDE	Death	female_higher	0.6481564962956804	11	11	22
SIMVASTATIN	Cardio-respiratory arrest	female_higher	0.6464703149572801	51	41	92
ATORVASTATIN CALCIUM	Death	female_higher	0.6458360110211161	28	20	48
GLIMEPIRIDE	Death	female_higher	0.6453101592118868	33	33	66
PANTOPRAZOLE	Completed suicide	female_higher	0.644960480689592	236	99	335
CAFFEINE	Cardio-respiratory arrest	male_higher	-0.6436533072806725	23	53	76
DOXEPIN	Death	female_higher	0.6433228544492389	120	65	185
RUCAPARIB	Death	male_higher	-0.6423409308349338	256	62	318
CAFFEINE	Death	male_higher	-0.6422600311415101	46	123	169
ENFORTUMAB VEDOTIN	Death	female_higher	0.6420944330036924	72	212	284
NIFEDIPINE	Completed suicide	male_higher	-0.6412110637110251	194	222	416
OMEPRAZOLE;SODIUM BICARBONATE	Death	male_higher	-0.6409060762871406	13	25	38
ZOLPIDEM TARTRATE	Cardio-respiratory arrest	female_higher	0.640679438177556	83	41	124
CEFTOLOZANE;TAZOBACTAM	Death	female_higher	0.6378250313683829	32	47	79
AMIODARONE	Completed suicide	female_higher	0.6371290396337468	57	52	109
OXALIPLATIN	Death	female_higher	0.6351400830957002	270	350	620
HYDROCHLOROTHIAZIDE;LISINOPRIL	Completed suicide	female_higher	0.6342979670297995	108	71	179
ACETYLSALICYLIC ACID	Completed suicide	female_higher	0.6336241776505362	256	180	436
LITHIUM	Cardio-respiratory arrest	female_higher	0.6335883400375544	95	54	149
IRINOTECAN	Cardio-respiratory arrest	male_higher	-0.6331223083264373	15	58	73
MITOXANTRONE	Death	female_higher	0.6327646295916846	29	31	60
NO MEDICATION	Death	female_higher	0.6321395352608448	18	15	33
WARFARIN	Completed suicide	female_higher	0.6316535960427213	243	174	417
OXYCODONE HYDROCHLORIDE	Completed suicide	female_higher	0.6316331452134345	403	223	626
COLLAGENASE	Death	female_higher	0.6309060314579984	82	62	144
LAMOTRIGINE	Death	female_higher	0.6307402159841353	343	160	503
TEDUGLUTIDE	Death	female_higher	0.6304682397890428	418	248	666
PARACETAMOL	Brain death	female_higher	0.630465770641057	76	25	101
AMPHOTERICIN B	Death	female_higher	0.6290590030423628	152	210	362
SUGAMMADEX	Cardio-respiratory arrest	female_higher	0.6290517634776112	15	11	26
NORTRIPTYLINE	Accidental death	female_higher	0.6285496939929374	16	10	26
GANCICLOVIR	Death	female_higher	0.6278838110837499	22	28	50
MIGLUSTAT	Death	female_higher	0.6265584959666508	28	24	52
VERAPAMIL HYDROCHLORIDE	Completed suicide	female_higher	0.626317442141135	75	35	110
ROPINIROLE	Completed suicide	female_higher	0.6253422510165032	86	42	128
METFORMIN;ROSIGLITAZONE	Sudden cardiac death	female_higher	0.6247962490240542	12	27	39
AMOXICILLIN	Death	female_higher	0.6231700709650523	91	54	145
ALCOHOL	Accidental death	female_higher	0.6223353935354887	10	14	24
MORPHINE	Cardio-respiratory arrest	female_higher	0.6218840354031039	319	271	590
NALTREXONE	Completed suicide	female_higher	0.6217865624065786	71	57	128
DOXORUBICIN	Death	female_higher	0.6202995560134594	659	535	1194
OLANZAPINE	Sudden cardiac death	female_higher	0.6198958526394984	12	21	33
TECLISTAMAB	Death	female_higher	0.6195771043756171	49	56	105
DIGOXIN	Death	female_higher	0.6190120765676128	93	64	157
CARFILZOMIB	Sudden death	female_higher	0.6179998886783824	12	20	32
LEVETIRACETAM	Cardio-respiratory arrest	female_higher	0.6179365727879153	117	77	194
CETUXIMAB	Death	female_higher	0.6164621139144504	143	295	438
OLAPARIB	Death	male_higher	-0.615844546361197	2210	1498	3708
CILOSTAZOL	Death	female_higher	0.6138914785990961	26	40	66
NORTRIPTYLINE	Cardio-respiratory arrest	male_higher	-0.6131610772520126	56	78	134
LEVOFOLINIC ACID	Death	female_higher	0.6108706265403085	18	29	47
CHLORPHENAMINE;CODEINE;PSEUDOEPHEDRINE	Death	female_higher	0.6105044966695277	22	23	45
TETRABENAZINE	Death	female_higher	0.6094986185357836	643	456	1099
METFORMIN;ROSIGLITAZONE	Death	female_higher	0.6094303894773966	29	41	70
OXYMORPHONE	Completed suicide	female_higher	0.6093613703750687	117	91	208
TRAMADOL	Completed suicide	female_higher	0.6084432238013	1599	850	2449
OXYGEN	Death	female_higher	0.6080356962219371	35	27	62
AZACITIDINE	Death	female_higher	0.6077412917776354	590	901	1491
VALPROIC ACID	Cell death	female_higher	0.6075054181319142	13	10	23
BUTALBITAL;CAFFEINE;PARACETAMOL	Cardio-respiratory arrest	male_higher	-0.6069784319635811	18	13	31
SUMATRIPTAN	Death	male_higher	-0.606903411252032	24	15	39
CYTARABINE	Death	female_higher	0.6063051509958364	305	416	721
MIDODRINE	Death	female_higher	0.6061530422384246	15	14	29
HALOPERIDOL	Sudden death	female_higher	0.6059871726917698	22	38	60
TEMAZEPAM	Death	female_higher	0.6055580499583877	135	100	235
IPILIMUMAB	Death	female_higher	0.6054654019846429	1122	1984	3106
MIDOSTAURIN	Death	female_higher	0.6054232336567904	162	183	345
HYDRALAZINE	Completed suicide	male_higher	-0.6046820291434902	112	137	249
PSEUDOEPHEDRINE	Death	male_higher	-0.604574785308204	23	10	33
IDARUCIZUMAB	Death	female_higher	0.604431187201296	62	81	143
DOLUTEGRAVIR;RILPIVIRINE	Death	female_higher	0.6017674343486644	10	27	37
LORMETAZEPAM	Cardio-respiratory arrest	male_higher	-0.6011453493146504	15	26	41
COLISTIN	Death	female_higher	0.6007194101446711	33	47	80
TRAZODONE	Completed suicide	female_higher	0.6000994935773827	1870	775	2645
CALCIUM	Cardio-respiratory arrest	male_higher	-0.5996910111766421	13	10	23
ALTEPLASE	Death	female_higher	0.5981934191718759	263	336	599
METHADONE	Cardio-respiratory arrest	female_higher	0.5974685721961084	291	341	632
RIVAROXABAN	Death	female_higher	0.5959228141661563	1169	1206	2375
AMFETAMINE	Death	female_higher	0.5949532593891809	137	183	320
OLANZAPINE	Completed suicide	female_higher	0.5946928695142559	807	587	1394
ETHANOL	Cardio-respiratory arrest	female_higher	0.593301710852991	347	380	727
CLARITHROMYCIN	Death	male_higher	-0.593123132676864	28	49	77
BUSULFAN	Death	female_higher	0.5925653858513613	25	34	59
BIPERIDEN	Cardio-respiratory arrest	female_higher	0.5923971848479861	14	12	26
MYCOPHENOLIC ACID	Brain death	male_higher	-0.5923828527605887	11	24	35
ZOLEDRONIC ACID	Cardio-respiratory arrest	female_higher	0.5919467160885208	50	14	64
LITHIUM CARBONATE	Completed suicide	female_higher	0.591653867219847	49	23	72
EPLERENONE	Death	female_higher	0.5908574196909859	13	36	49
OXYCODONE HYDROCHLORIDE	Cardio-respiratory arrest	female_higher	0.5904757873458202	233	165	398
LEVOTHYROXINE SODIUM	Completed suicide	male_higher	-0.5904547450742199	84	37	121
MAVACAMTEN	Death	male_higher	-0.5897731745730521	11	16	27
NUTRIENTS, UNSPECIFIED	Death	male_higher	-0.5896425562016302	25	47	72
OXYMORPHONE	Cardio-respiratory arrest	female_higher	0.5894044631879152	43	43	86
ISOSORBIDE MONONITRATE	Completed suicide	female_higher	0.588786736830996	62	36	98
LANTHANUM CARBONATE	Death	female_higher	0.5885720830768149	124	290	414
HYDROXYCARBAMIDE	Death	female_higher	0.5880412203283618	40	37	77
BETA BLOCKERS, UNSPECIFIED	Death	female_higher	0.5877498795241254	14	13	27
NIVOLUMAB	Death	female_higher	0.5877376272322395	3249	6071	9320
HEPARIN	Brain death	female_higher	0.586702067288436	16	13	29
TRAZODONE	Cardio-respiratory arrest	female_higher	0.5862964707985507	402	200	602
PERITONEAL DIALYTICS, UNSPECIFIED	Death	female_higher	0.5853853020257371	59	80	139
CITALOPRAM	Cardio-respiratory arrest	female_higher	0.5838554230581301	448	223	671
ARIPIPRAZOLE	Cardio-respiratory arrest	female_higher	0.5829156527329813	157	103	260
CODEINE	Completed suicide	male_higher	-0.5816559936844476	212	204	416
PANITUMUMAB	Death	female_higher	0.5814495936795767	182	299	481
POSACONAZOLE	Death	female_higher	0.5802550468302686	138	194	332
ATRACURIUM	Completed suicide	male_higher	-0.5799423546082814	11	16	27
HYDROCODONE;PARACETAMOL	Death	female_higher	0.5789486577737565	2511	2891	5402
ENOXAPARIN	Death	female_higher	0.5787276367143495	256	201	457
METHOTREXATE	Cell death	female_higher	0.5774240632898677	41	15	56
DIHYDROCODEINE	Completed suicide	female_higher	0.5772264332781809	32	18	50
OSELTAMIVIR	Death	male_higher	-0.5765913954862895	51	127	178
SEMAGLUTIDE	Death	male_higher	-0.5760582760028812	73	117	190
GALANTAMINE	Death	male_higher	-0.5758840546580164	12	18	30
CITALOPRAM	Accidental death	female_higher	0.5758311152833042	53	41	94
ALLOPURINOL	Cardio-respiratory arrest	female_higher	0.5755596914640413	21	25	46
TRASTUZUMAB EMTANSINE	Death	male_higher	-0.575251884313526	451	35	486
NUSINERSEN	Cardio-respiratory arrest	female_higher	0.5740563547253579	43	35	78
SPIRONOLACTONE	Death	female_higher	0.5737436713768684	108	90	198
VERAPAMIL	Death	female_higher	0.5736683210408392	182	109	291
KETAMINE	Cardio-respiratory arrest	female_higher	0.573418574585344	83	75	158
BECAPLERMIN	Death	female_higher	0.5732757164150196	21	32	53
TRAMADOL HYDROCHLORIDE	Completed suicide	female_higher	0.573175933265524	185	91	276
BUDESONIDE;FORMOTEROL	Apparent death	female_higher	0.5725883557524412	43	16	59
SOFOSBUVIR	Death	female_higher	0.5725584742771795	128	205	333
CISPLATIN	Death	female_higher	0.572485600850179	332	506	838
G-CSF, UNSPECIFIED	Death	female_higher	0.5717060309062361	40	48	88
DOCUSATE	Completed suicide	male_higher	-0.5716280044773141	15	23	38
ESCITALOPRAM	Cardio-respiratory arrest	female_higher	0.5710392667322186	209	101	310
MEGESTROL	Death	female_higher	0.5707160585282425	13	11	24
MELOXICAM	Death	male_higher	-0.5697948512848399	30	37	67
WARFARIN	Death	female_higher	0.5697764022343716	286	332	618
IRINOTECAN	Death	female_higher	0.5695202488966729	245	346	591
TISAGENLECLEUCEL	Death	female_higher	0.5690197276711166	67	108	175
PAMIDRONIC ACID	Death	female_higher	0.5688667492659802	100	61	161
SONIDEGIB	Death	female_higher	0.5686572037317458	29	48	77
EVEROLIMUS	Death	female_higher	0.5680634712566752	3217	2067	5284
CALCIUM	Completed suicide	male_higher	-0.5670581762043205	29	17	46
PANTOPRAZOLE	Cell death	male_higher	-0.5666594313419806	23	36	59
TALIGLUCERASE ALFA	Death	female_higher	0.5664334022964286	13	10	23
METHOTREXATE	Cardio-respiratory arrest	male_higher	-0.5650226692778273	84	103	187
PREGABALIN	Apparent death	female_higher	0.5648595456257859	92	31	123
PEGINTERFERON ALFA-2B	Death	female_higher	0.5643357240442888	22	28	50
ZOLEDRONIC ACID	Sudden death	female_higher	0.5642951565959096	25	12	37
MORPHINE	Near death experience	male_higher	-0.5638234093510754	28	48	76
MARIBAVIR	Death	female_higher	0.5635570121729669	105	138	243
AMANTADINE	Completed suicide	female_higher	0.5617800375786808	34	20	54
FRUQUINTINIB	Death	female_higher	0.5617197580131865	271	365	636
SERTRALINE HYDROCHLORIDE	Cardio-respiratory arrest	female_higher	0.5615577215731453	22	12	34
COBICISTAT;DARUNAVIR	Death	male_higher	-0.5612802976966313	10	69	79
OXCARBAZEPINE	Completed suicide	female_higher	0.5584968708598295	230	124	354
LEVOMEPROMAZINE	Cardio-respiratory arrest	female_higher	0.558404874079808	21	19	40
AMANTADINE	Death	female_higher	0.5574039450952476	100	90	190
BENDAMUSTINE	Death	female_higher	0.5560885080728143	228	348	576
CARISOPRODOL	Completed suicide	female_higher	0.5559591011026859	502	200	702
DOLUTEGRAVIR	Death	male_higher	-0.5547572555090108	54	244	298
NUSINERSEN	Death	female_higher	0.5543218801448033	103	103	206
CALCIUM;ICODEXTRIN;MAGNESIUM;SODIUM CHLORIDE;SODIUM LACTATE	Death	female_higher	0.5542737331030343	1817	2752	4569
VIGABATRIN	Death	female_higher	0.5536002038258684	368	405	773
ALIMEMAZINE	Death	male_higher	-0.5534263909002902	28	65	93
METFORMIN;VILDAGLIPTIN	Death	female_higher	0.5532715052718492	47	46	93
NICOTINE	Death	male_higher	-0.5528555945742024	44	83	127
LAROTRECTINIB	Death	female_higher	0.5526690761971756	20	21	41
BELANTAMAB MAFODOTIN	Death	female_higher	0.5521466673247166	112	157	269
PARICALCITOL	Cardio-respiratory arrest	female_higher	0.551409592608104	197	229	426
GUAIFENESIN;HYDROCODONE	Death	female_higher	0.5511546281160309	52	53	105
PRAVASTATIN	Completed suicide	female_higher	0.551030837042823	87	51	138
TRIMIPRAMINE	Completed suicide	male_higher	-0.5498922856065875	17	15	32
DABIGATRAN	Death	female_higher	0.5498866599938292	533	643	1176
DELAMANID	Death	female_higher	0.5495799857589874	32	42	74
COVID-19 VACCINE	Cardio-respiratory arrest	male_higher	-0.5494450293840173	21	29	50
CEFTAZIDIME	Death	female_higher	0.5492021989494262	19	24	43
BENZATROPINE	Death	female_higher	0.5491380067596071	42	51	93
REVUMENIB	Death	female_higher	0.5489662627851034	17	19	36
RIVASTIGMINE	Death	female_higher	0.5485987996847255	869	654	1523
ESOMEPRAZOLE	Sudden death	male_higher	-0.5477751858725557	16	41	57
MUSCLE RELAXANTS, UNSPECIFIED	Death	female_higher	0.5475405819637291	59	37	96
DOXEPIN HYDROCHLORIDE	Cardio-respiratory arrest	female_higher	0.5473003560432748	27	11	38
DONEPEZIL	Completed suicide	female_higher	0.5471856366323664	128	58	186
POTASSIUM CHLORIDE	Death	female_higher	0.5468027985955467	51	28	79
DOCETAXEL	Death	male_higher	-0.5467350211251207	513	454	967
MIDAZOLAM HYDROCHLORIDE	Death	female_higher	0.5465380206953201	10	10	20
POMALIDOMIDE	Sudden death	female_higher	0.5461970304212768	17	26	43
LISINOPRIL	Death	female_higher	0.5459216384757695	248	250	498
RIBAVIRIN	Cardio-respiratory arrest	female_higher	0.5439821708726346	28	32	60
CILTACABTAGENE AUTOLEUCEL	Death	female_higher	0.5437446516458575	22	31	53
MEROPENEM	Death	female_higher	0.5432721163475425	93	124	217
ZIDOVUDINE	Death	female_higher	0.5428409329740336	46	50	96
ZOLPIDEM TARTRATE	Completed suicide	female_higher	0.5426113090696516	246	111	357
IRON	Cardio-respiratory arrest	male_higher	-0.5421453767617135	47	43	90
FENTANYL	Accidental death	female_higher	0.5408364673838131	17	21	38
LAMOTRIGINE	Cardio-respiratory arrest	female_higher	0.540031150723133	377	162	539
GILTERITINIB	Death	female_higher	0.5387807551271	89	101	190
VILAZODONE	Completed suicide	male_higher	-0.5377659299063022	79	64	143
DEFERASIROX, TRIAL	Death	female_higher	0.5377191196469755	28	41	69
UNSPECIFIED	Cardio-respiratory arrest	female_higher	0.5374295291722155	65	52	117
ARTIFICIAL TEARS	Death	male_higher	-0.5372869503593689	32	21	53
FENFLURAMINE	Death	female_higher	0.5363191835699084	16	18	34
PALIPERIDONE	Death	female_higher	0.5362175851256278	208	429	637
ALPRAZOLAM	Completed suicide	female_higher	0.5354466856558942	3445	1786	5231
RANITIDINE	Death	female_higher	0.5350091105567216	400	517	917
FENTANYL	Brain death	male_higher	-0.534799777144501	17	33	50
ETHYLENE GLYCOL	Completed suicide	female_higher	0.5347535238428929	98	146	244
UNSATURATED FATTY ACIDS	Completed suicide	female_higher	0.5346769878270416	16	11	27
CITALOPRAM HYDROBROMIDE	Cardio-respiratory arrest	male_higher	-0.5330502778756592	28	26	54
OXYCODONE	Near death experience	male_higher	-0.5322799365991759	61	113	174
OLMESARTAN	Death	female_higher	0.5319813931698034	18	15	33
OXYMORPHONE	Death	female_higher	0.5304073125418299	385	491	876
SELINEXOR	Death	female_higher	0.5303566129438311	45	59	104
SOMATROPIN	Death	female_higher	0.5303289516367087	365	577	942
OXCARBAZEPINE	Death	female_higher	0.5301188244053772	80	67	147
HYDROCHLOROTHIAZIDE;LOSARTAN	Death	male_higher	-0.5279898506602063	11	18	29
SODIUM CHLORIDE	Death	male_higher	-0.5275328526871985	111	184	295
DAPTOMYCIN	Death	female_higher	0.5273584622159537	61	106	167
ALTEPLASE	Brain death	female_higher	0.5270248307488088	13	12	25
EDARAVONE	Death	female_higher	0.5261855644104383	209	322	531
VINCRISTINE	Death	female_higher	0.5261051868394047	356	495	851
ETRAVIRINE	Death	male_higher	-0.5229940288551694	11	62	73
VINCRISTINE SULFATE	Death	female_higher	0.5227622961550178	39	54	93
TARLATAMAB	Death	male_higher	-0.5218484904803725	10	36	46
CICLOSPORIN	Cardio-respiratory arrest	female_higher	0.5193253595977475	24	15	39
NITROGLYCERIN	Death	female_higher	0.5188589483326158	20	13	33
OXYBUTYNIN	Death	male_higher	-0.5180894180566431	25	11	36
DECITABINE	Death	female_higher	0.5179475053982345	45	63	108
DACLATASVIR	Death	female_higher	0.5167139718248754	40	66	106
CEFOTAXIME	Death	female_higher	0.5162319107646067	12	17	29
VISMODEGIB	Death	female_higher	0.5141353484637967	249	407	656
PATISIRAN	Death	female_higher	0.5141076484965488	12	24	36
UNSPECIFIED INGREDIENT	Cardio-respiratory arrest	female_higher	0.5128890673192572	56	34	90
CEMIPLIMAB	Death	female_higher	0.5108258143827459	30	50	80
AFLIBERCEPT	Death	female_higher	0.509745326675149	543	564	1107
DOXAZOSIN	Death	male_higher	-0.5086132744180557	19	87	106
DAPAGLIFLOZIN;METFORMIN	Death	female_higher	0.5077626603348036	49	62	111
ROSUVASTATIN	Completed suicide	female_higher	0.5063119037960198	136	85	221
DUPILUMAB	Near death experience	male_higher	-0.5050622597373751	11	11	22
ATORVASTATIN CALCIUM	Completed suicide	male_higher	-0.5047437840753992	37	54	91
IMATINIB	Cardio-respiratory arrest	female_higher	0.5042895718978933	43	44	87
BENZTROPINE MESYLATE	Completed suicide	female_higher	0.504125692528878	20	16	36
BEDAQUILINE	Death	female_higher	0.5041111228102794	82	117	199
AXITINIB	Death	female_higher	0.5035257064785952	643	1676	2319
PHENOBARBITAL	Death	female_higher	0.5032328708871251	57	54	111
CARVEDILOL	Cardio-respiratory arrest	male_higher	-0.5031010219924872	29	80	109
